p_name,cyano,green,diatom
p_initial,10,0.04,10
p0,0.03,0.03,0.03
Xcc,50,40,40
R_growth,5.83014389057529,0.809029823234305,3.70909054728448
fT_Method,1,0,0
theta_growth,1.06,1.08,1.06
T_std,20,20,15
T_opt,28,27,20
T_max,35,33,32
lightModel,0,0,0
I_K,25,25,10
I_S,100,100,100
KePHY,0.005,0.005,0.001
f_pr,0.005,0.005,0.002
R_resp,0.140735126978802,0.0914224449338485,0.033095444458304
theta_resp,1.05,1.06,1.07
k_fres,0.6,0.6,0.6
k_fdom,0.05,0.05,0.05
salTol,0,0,0
S_bep,2,2,2
S_maxsp,35,35,35
S_opt,1,1,1
simDINUptake,1,1,1
simDONUptake,0,0,0
simNFixation,0,0,0
simINDynamics,2,2,2
N_o,0.25,0.25,0.25
K_N,4,3.21,3.57
X_ncon,0.035,0.035,0.035
X_nmin,0.02,0.02,0.02
X_nmax,0.07,0.07,0.07
R_nuptake,0.104671413589828,0.0676974753921852,0.0521766332089901
k_nfix,0.7,0.7,0.7
R_nfix,0.035,0.035,0.035
simDIPUptake,1,1,1
simIPDynamics,2,2,2
P_0,0.03,0.03,0.03
K_P,0.15,0.16,0.16
X_pcon,0.0015,0.0015,0.0015
X_pmin,5e-4,5e-4,5e-4
X_pmax,0.005,0.005,0.005
R_puptake,0.00469070126814768,0.00158369385874238,0.00384074523487715
simSiUptake,0,0,0
Si_0,0.3,0.3,0.3
K_Si,2.5,2.5,2.5
X_sicon,0.4,0.4,0.4
w_p,0,-0.01,-0.104
c1,0.0020667,0.0020667,0.0020667
c3,3.833e-4,3.833e-4,3.833e-4
f1,0.675,0.675,0.675
f2,0.75,0.75,0.75
d_phy,1e-5,1e-5,1e-5
